nama_resmi,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,avg_2016_2020,avg_all_avail,n_years
Bangkalan,4517,5495,5615,4542,844,291,249,390,426,101,,,,,,291.4,291.4,5
Banyuwangi,9918,9422,7957,7271,4876,4039,5176,6132,6343,3347,2435.0,4336.0,5561.0,6758.0,5938.0,5007.4,5006.5,10
Blitar,11366,10329,9880,7973,5209,4815,8520,9189,9154,5471,4624.0,6961.0,8634.0,10652.0,1860.0,7429.8,6988.0,10
Bojonegoro,1940,1534,1410,1157,716,667,1088,949,980,436,,,,,,824.0,824.0,5
Bondowoso,499,447,464,438,222,162,169,201,142,55,,,,,,145.8,145.8,5
Gresik,1935,1724,1323,1007,277,347,440,475,617,134,,,,,,402.6,402.6,5
Jember,3941,3383,3293,2600,2059,1742,2156,2294,2177,1147,934.0,,,,,1903.2,1741.7,6
Jombang,1168,1124,1009,863,466,392,555,611,503,266,,,,,,465.4,465.4,5
Kediri,6126,5808,5433,4570,2773,2426,3625,4145,4027,2135,1685.0,2575.0,3593.0,4316.0,,3271.6,3169.7,9
Kota Batu,181,137,84,53,44,35,75,83,64,65,,,,,,64.4,64.4,5
Kota Blitar,107,138,134,149,164,161,169,189,274,92,,,,,,177.0,177.0,5
Kota Kediri,69,73,111,132,180,145,118,160,164,65,,,,,,130.4,130.4,5
Kota Madiun,97,124,158,130,175,193,170,218,207,67,,,,,,171.0,171.0,5
Kota Malang,201,152,279,178,158,139,130,166,195,79,,,,,,141.8,141.8,5
Kota Mojokerto,9,11,11,9,13,6,5,6,5,5,,,,,,5.4,5.4,5
Kota Pasuruan,37,19,20,19,28,18,14,29,20,9,,,,,,18.0,18.0,5
Kota Probolinggo,13,10,20,14,19,13,17,17,21,8,,,,,,15.2,15.2,5
Kota Surabaya,1611,1649,1520,1048,438,325,423,414,354,233,,,,,,349.8,349.8,5
Lamongan,2369,1694,1376,977,577,476,830,828,823,297,,,,,,650.8,650.8,5
Lumajang,1378,1249,989,801,377,337,530,673,593,338,,,,,,494.2,494.2,5
Madiun,6693,6307,6084,5185,3525,3401,4689,4913,4982,2685,2081.0,3533.0,4152.0,5253.0,,4134.0,3965.4,9
Magetan,3828,3786,3523,3058,2268,2158,2786,2989,2975,1514,1158.0,2251.0,,,,2484.4,2261.6,7
Malang,13407,11657,10218,8114,3873,3348,8370,8839,7928,5600,4831.0,6590.0,7447.0,10288.0,8325.0,6817.0,7156.6,10
Mojokerto,291,278,285,214,90,99,123,160,147,77,,,,,,121.2,121.2,5
Nganjuk,1765,1800,1625,1425,898,896,1058,1180,1024,434,,,,,,918.4,918.4,5
Ngawi,2950,2937,2673,2423,1982,1813,2148,2277,2241,1142,774.0,,,,,1924.2,1732.5,6
Pacitan,393,531,459,343,128,145,205,268,263,107,,,,,,197.6,197.6,5
Pamekasan,1466,1205,1333,1044,489,208,232,333,296,100,,,,,,233.8,233.8,5
Pasuruan,892,668,583,512,218,148,765,544,437,332,,,,,,445.2,445.2,5
Ponorogo,11539,10940,10494,8869,6443,6597,9157,10043,9665,5397,4126.0,7568.0,9180.0,11329.0,9930.0,8171.8,8299.2,10
Probolinggo,747,548,561,397,187,119,128,155,124,52,,,,,,115.6,115.6,5
Sampang,2134,1784,1852,1553,700,429,238,466,533,173,,,,,,367.8,367.8,5
Sidoarjo,602,647,587,456,204,154,370,344,302,199,,,,,,273.8,273.8,5
Situbondo,462,303,351,244,124,93,111,99,111,47,,,,,,92.2,92.2,5
Sumenep,843,565,736,620,267,104,126,197,267,51,,,,,,149.0,149.0,5
Trenggalek,3594,3110,2929,2662,1990,1845,2668,3005,2963,1485,1044.0,2296.0,3087.0,,,2393.2,2299.1,8
Tuban,872,841,757,533,221,157,278,292,289,142,,,,,,231.6,231.6,5
Tulungagung,9273,7939,7707,6723,5091,4692,6173,7108,7104,4022,2365.0,5202.0,7141.0,8029.0,7255.0,5819.8,5909.1,10
