short,lon,lat,neto_LP,net_rate,pop_sp2020,local_R2,b_ipm,b_gini,b_tpt,b_miskin,b_pdrb_kapita,b_growth_pdrb,b_MMI,driver
Situbondo,114.01,-7.71,-837,-1.2438217575186574,672926,0.509229087638857,0.45990368285660865,-0.056051637171682635,0.34320260670292363,0.48319081698368976,0.33287735328598966,0.4582706960413583,0.081756634097761,miskin
Madiun,111.52,-7.63,-190530,-276.94078760896014,687981,0.5164976346490218,0.41651385062744695,-0.047607195222847926,0.37132621832120605,0.40112207113450027,0.3218818657828079,0.40725711159017436,0.04818231990041924,ipm
Ngawi,111.38,-7.41,-193697,-235.06432512921455,824017,0.5173927810529284,0.41374612986604364,-0.04574463419549289,0.3735424152304936,0.39727118766835534,0.3205863603370075,0.4035623373062156,0.04505699969451776,ipm
Kota Madiun,111.52,-7.63,22990,129.60728822541182,177382,0.5164976346490218,0.41651385062744695,-0.047607195222847926,0.37132621832120605,0.40112207113450027,0.3218818657828079,0.40725711159017436,0.04818231990041924,ipm
Probolinggo,113.21,-7.75,-37692,-33.41213889280405,1128093,0.5097304876247137,0.44201790090878595,-0.05529805905918377,0.3541425373263333,0.4534710079748897,0.3310849835178203,0.44314497897635863,0.07355079909057721,miskin
Banyuwangi,114.36,-8.22,-284091,-164.2370453276231,1729762,0.5087720444495266,0.47189706771796097,-0.057947714412100663,0.33772782431969933,0.5005979318456429,0.3343457894644741,0.46569102137361706,0.08548034167043651,miskin
Kota Surabaya,112.75,-7.25,124099,43.16938921257496,2874699,0.5113588416446685,0.43002000531643125,-0.052004576051151365,0.3608647125562288,0.4354339070287709,0.3286246212792008,0.4328841478362012,0.06658357132178444,miskin
Sidoarjo,112.72,-7.45,521039,230.29958805537385,2262440,0.511287051876657,0.43084690298040196,-0.05274430184368558,0.36073485447895054,0.43530616900375196,0.3287606268531037,0.43263735072241893,0.0666601180423421,miskin
Magetan,111.46,-7.66,-111248,-176.71876985639852,629520,0.5168125622483004,0.41623149726175984,-0.047340903181421215,0.37157210135836843,0.39969733031849064,0.32146954057090127,0.4060125013604155,0.04718231728087076,ipm
Sumenep,114.23,-6.96,-49231,-45.22896064618313,1088484,0.5108701161915852,0.4610264378045563,-0.05291576958292025,0.3398073149990777,0.48676893196858473,0.3315625115074083,0.460705002784647,0.08228964816222732,miskin
