kode_kab,nama_resmi,MMI,SP2020_neto_norm,neto_LP,masuk_LP,keluar_LP,MPI_raw,MPI,rank_MPI,short,lon,lat,ipm,gini,tpt,tpak,miskin,pdrb_kapita,pdrb_adhk,tenaker_se2016,usaha_se2016,growth_pdrb,pop_est,net_rate_permil,in_rate_permil,out_rate_permil,lisa_q_raw,lisa_p_raw,lisa_I_raw,lisa_q_rate,lisa_p_rate,lisa_I_rate,pop_sp2020,net_rate,in_rate,out_rate,net_rate_norm,rank_raw,rank_rate,rank_diff
3512,Kabupaten Situbondo,100.0,35.18,-837,41968,42805,100.0,100.0,1,Situbondo,114.01,-7.71,69.91666666666667,0.3156666666666667,3.4433333333333334,73.02,12.103333333333332,34778.55,14668.5,240241,93624,4.895935186478559,421768590.1223599,-0.0019845005522037,0.0995048018815829,0.1014893024337866,4,0.189,-0.16507934137751,4,0.371,-0.0658318964296141,672926,-1.2438217575186574,62.36644148093549,63.61026323845416,54.35233058692547,12,12,0
3519,Kabupaten Madiun,55.31,11.62,-190530,77140,267670,55.31,55.31,2,Madiun,111.52,-7.63,73.53333333333332,0.3516666666666666,5.323333333333333,70.99333333333334,11.246666666666664,30348.85,14532.7,169258,73264,5.125056458897914,478855047.22584224,-0.3978865861471026,0.1610925904339867,0.5589791765810894,3,0.131,0.362439502338672,3,0.054,0.9337428795872312,687981,-276.94078760896014,112.12518950377992,389.06597711274,0.0,31,38,-7
3521,Kabupaten Ngawi,55.15,11.23,-193697,70851,264548,55.15,55.15,3,Ngawi,111.38,-7.41,72.62333333333333,0.3123333333333333,3.046666666666667,73.63666666666667,14.706666666666663,26610.8,14584.45,183905,82995,4.487395193628897,548065071.3244247,-0.3534197126117199,0.1292747954705182,0.4826945080822382,3,0.138,0.3678442467179353,3,0.043,0.8642684794915838,824017,-235.06432512921455,85.98244939121402,321.0467745204286,8.255743132612391,32,36,-4
3577,Kota Madiun,53.1,38.14,22990,58908,35918,53.1,53.1,4,Kota Madiun,111.52,-7.63,83.0,0.3863333333333333,6.796666666666667,67.67,4.863333333333333,83050.8,11442.0,110865,33166,5.798769739918695,137771099.13450563,0.1668709921342422,0.4275787909805977,0.2607077988463555,4,0.028,-0.4347099723392043,4,0.001,-1.4685842532117577,177382,129.60728822541182,332.0968305690544,202.4895423436425,80.1489974653368,7,5,2
3513,Kabupaten Probolinggo,40.22,30.6,-37692,42000,79692,40.22,40.22,5,Probolinggo,113.21,-7.75,69.62,0.3066666666666666,3.68,71.42666666666668,17.74,34664.8,25319.550000000003,421709,124461,4.733122559047799,730410964.4365467,-0.0516038255656202,0.057501875033324,0.1091057005989442,1,0.018,0.2099927348919565,1,0.009,0.1621753005712956,1128093,-33.41213889280405,37.23097297829168,70.64311187109573,48.01050160827714,16,16,0
3510,Kabupaten Banyuwangi,31.89,0.0,-284091,89939,374030,31.89,31.89,6,Banyuwangi,114.36,-8.22,73.18666666666667,0.351,5.1433333333333335,74.45333333333333,7.640000000000001,55954.15,59390.5,563293,241948,5.033090177205931,1061413675.3037978,-0.2676534197834671,0.0847351057298726,0.3523885255133397,2,0.427,-0.072510038665077,2,0.276,-0.2516258021579529,1729762,-164.2370453276231,51.99501434301367,216.2320596706368,22.219000633324715,38,29,9
3578,Kota Surabaya,22.52,50.7,124099,867318,743219,22.52,22.52,7,Kota Surabaya,112.75,-7.25,83.41666666666667,0.3873333333333333,8.020000000000001,68.67333333333333,4.866666666666666,235882.6,446649.5,1705919,374533,5.70209706764229,1893524575.360794,0.0655386265458709,0.4580442267746857,0.3925056002288147,1,0.01,1.4734712169671635,1,0.009,0.7449798137616664,2874699,43.16938921257496,301.7074135413829,258.53802432880804,63.10818148146941,3,9,-6
3515,Kabupaten Sidoarjo,22.26,100.0,521039,704520,183481,22.26,22.26,8,Sidoarjo,112.72,-7.45,81.42,0.3596666666666666,9.24,69.65333333333334,5.43,121385.5,156282.34999999998,757739,204305,6.158340363251651,1287487797.1421626,0.4046943211085577,0.5472051863822115,0.1425108652736537,1,0.007,2.6649866093455423,1,0.008,2.1552244527471665,2262440,230.29958805537385,311.3983133254363,81.09872527006242,100.0,1,1,0
3520,Kabupaten Magetan,20.38,21.47,-111248,77307,188555,20.38,20.38,9,Magetan,111.46,-7.66,75.71333333333332,0.3606666666666666,4.116666666666666,75.27333333333333,10.1,32451.3,14250.95,191435,82915,4.472997015610652,439148816.8424686,-0.2533264254242699,0.176038274578186,0.4293647000024559,3,0.086,0.1659968256874464,3,0.032,0.6330367189646834,629520,-176.71876985639852,122.80308806709874,299.5218579234973,19.75828868537931,22,32,-10
3529,Kabupaten Sumenep,18.15,29.17,-49231,19441,68672,18.15,18.15,10,Sumenep,114.23,-6.96,68.45333333333333,0.2823333333333333,1.7933333333333332,76.53666666666668,19.32333333333333,36398.85,25578.7,449878,159611,5.347494841967522,702733740.2143201,-0.0700564056949727,0.0276648165407155,0.0977212222356882,4,0.493,-0.0074770320727785,4,0.491,-0.0007854756788097,1088484,-45.22896064618313,17.860620826764563,63.0895814729477,45.6808720440094,18,17,1
