kode_kab,nama_resmi,pop_sp2020,BP2MI_per1000,MMI_frac,ILKD_per1000,BP2MI_norm,MMI_norm,ILKD_norm,MPI_OUT_v2,MPI_IN_v2,MPI_NET_v2,rank_v2,MPI_v1,rank_v1,delta_rank
3502,Kabupaten Ponorogo,860995,9.491,0.003,0.328,100.0,9.6,4.142,100.0,12.053,100.0,1,9.6,23,22
3505,Kabupaten Blitar,1147890,6.473,0.002,0.357,68.057,3.923,4.531,68.057,6.701,85.852,2,3.92,32,30
3504,Kabupaten Tulungagung,1053763,5.523,0.003,0.14,58.007,8.637,1.694,58.007,8.939,79.314,3,8.64,24,21
3507,Kabupaten Malang,2662555,2.56,0.002,0.067,26.657,0.565,0.731,26.657,0.0,67.39,4,0.57,37,33
3503,Kabupaten Trenggalek,685595,3.491,0.003,0.245,36.502,13.858,3.063,36.502,15.376,64.447,5,13.86,16,11
3506,Kabupaten Kediri,1598746,2.046,0.002,0.285,21.218,0.708,3.581,21.218,2.644,63.089,6,0.71,36,30
3520,Kabupaten Magetan,629520,3.946,0.004,0.508,41.326,20.378,6.509,41.326,24.938,61.926,7,20.38,9,2
3519,Kabupaten Madiun,687981,6.009,0.008,0.297,63.15,55.312,3.737,63.15,57.536,56.194,8,55.31,2,-6
3528,Kabupaten Pamekasan,889467,0.263,0.002,0.055,2.344,3.51,0.577,2.344,2.818,52.955,9,3.51,33,24
3510,Kabupaten Banyuwangi,1729762,2.895,0.005,0.041,30.197,31.888,0.393,30.197,31.114,52.719,10,31.89,6,-4
3573,Kota Malang,843810,0.168,0.002,0.211,1.341,5.299,2.617,1.341,6.402,50.514,11,5.3,31,20
3511,Kabupaten Bondowoso,779982,0.187,0.003,0.091,1.541,7.781,1.047,1.541,7.513,50.029,12,7.78,27,15
3509,Kabupaten Jember,2432397,0.782,0.003,0.029,7.843,15.12,0.238,7.843,14.162,49.844,13,15.12,13,0
3518,Kabupaten Nganjuk,1026979,0.894,0.003,0.228,9.026,14.29,2.838,9.026,15.612,49.702,14,14.29,14,0
3527,Kabupaten Sampang,951532,0.387,0.002,0.844,3.653,2.441,10.901,3.653,10.804,49.402,15,2.44,34,19
3524,Kabupaten Lamongan,1253233,0.519,0.002,0.65,5.058,6.316,8.357,5.058,12.458,49.269,16,6.32,30,14
3501,Kabupaten Pacitan,580431,0.34,0.003,0.415,3.165,8.319,5.29,3.165,11.776,48.625,17,8.32,25,8
3516,Kabupaten Mojokerto,1112613,0.109,0.002,0.899,0.716,1.398,11.619,0.716,10.389,48.06,18,1.4,35,17
3522,Kabupaten Bojonegoro,1235924,0.667,0.004,0.14,6.618,16.346,1.688,6.618,16.664,47.861,19,16.35,12,-7
3517,Kabupaten Jombang,1310278,0.355,0.002,0.763,3.321,7.088,9.845,3.321,14.537,47.239,20,7.09,29,9
3508,Kabupaten Lumajang,1033723,0.478,0.003,0.371,4.622,14.159,4.718,4.622,17.129,46.552,21,14.16,15,-6
3525,Kabupaten Gresik,1309615,0.307,0.003,0.722,2.816,10.725,9.31,2.816,17.716,45.279,22,10.73,22,0
3514,Kabupaten Pasuruan,1617155,0.275,0.003,0.618,2.476,11.749,7.949,2.476,17.549,45.187,23,11.75,20,-3
3523,Kabupaten Tuban,1177120,0.197,0.004,0.127,1.645,17.439,1.512,1.645,17.607,44.714,24,17.44,11,-13
3529,Kabupaten Sumenep,1088484,0.137,0.004,0.011,1.011,18.154,0.0,1.011,16.996,44.702,25,18.15,10,-15
3526,Kabupaten Bangkalan,975699,0.299,0.003,0.881,2.723,11.372,11.392,2.723,20.191,43.913,26,11.37,21,-5
3578,Kota Surabaya,2874699,0.122,0.004,0.231,0.85,22.52,2.874,0.85,23.897,40.944,27,22.52,7,-20
3571,Kota Kediri,292544,0.446,0.003,1.555,4.28,12.357,20.212,4.28,28.918,40.097,28,12.36,19,-9
3515,Kabupaten Sidoarjo,2262440,0.121,0.004,0.442,0.843,22.261,5.641,0.843,26.064,39.787,29,22.26,8,-21
3572,Kota Blitar,144613,1.224,0.003,2.835,12.515,13.317,36.963,12.515,44.579,36.146,30,13.32,18,-12
3521,Kabupaten Ngawi,824017,2.335,0.008,0.3,24.274,55.147,3.779,24.274,57.408,35.577,31,55.15,3,-28
3513,Kabupaten Probolinggo,1128093,0.102,0.006,0.886,0.647,40.222,11.458,0.647,49.18,27.384,32,40.22,5,-27
3579,Kota Batu,207843,0.31,0.002,4.811,2.842,0.0,62.828,2.842,53.919,26.03,33,0.0,38,5
3574,Kota Probolinggo,236428,0.064,0.003,4.23,0.243,7.499,55.214,0.243,54.759,24.201,34,7.5,28,-6
3577,Kota Madiun,177382,0.964,0.008,1.15,9.764,53.095,14.908,9.764,65.116,23.756,35,53.1,4,-31
3575,Kota Pasuruan,208890,0.086,0.003,4.787,0.475,8.082,62.512,0.475,61.746,20.606,36,8.08,26,-10
3512,Kabupaten Situbondo,672926,0.137,0.013,0.068,1.013,100.0,0.75,1.013,99.729,0.683,37,100.0,1,-36
3576,Kota Mojokerto,130694,0.041,0.003,7.651,0.0,13.427,100.0,0.0,100.0,0.0,38,13.43,17,-21
